Date,Open,High,Low,Close,Adj Close,Volume
2022-08-04,15267.160156,15283.980469,15214.799805,15224.209961,15224.209961,4283320000
2022-08-05,15224.209961,15274.780273,15100.629883,15273.230469,15273.230469,4085940000
2022-08-08,15273.230469,15417.809570,15273.230469,15305.799805,15305.799805,4221090000
2022-08-09,15305.799805,15342.740234,15225.200195,15264.790039,15264.790039,3913090000
2022-08-10,15264.790039,15562.230469,15264.790039,15552.700195,15552.700195,4546010000
2022-08-11,15552.700195,15745.830078,15552.700195,15602.929688,15602.929688,4630200000
2022-08-12,15602.929688,15805.769531,15602.929688,15804.379883,15804.379883,3788010000
2022-08-15,15804.389648,15805.209961,15652.169922,15794.330078,15794.330078,3696830000
2022-08-16,15794.330078,15897.669922,15761.599609,15846.790039,15846.790039,4329820000
2022-08-17,15846.790039,15846.790039,15659.959961,15734.110352,15734.110352,3885030000
2022-08-18,15734.110352,15785.740234,15691.190430,15763.900391,15763.900391,3340330000
2022-08-19,15763.900391,15763.900391,15555.509766,15588.320313,15588.320313,3761340000
2022-08-22,15588.320313,15588.320313,15316.009766,15341.849609,15341.849609,3907430000
2022-08-23,15341.849609,15439.929688,15322.049805,15338.150391,15338.150391,3823520000
2022-08-24,15338.150391,15433.429688,15298.000000,15392.059570,15392.059570,3583630000
2022-08-25,15392.059570,15597.419922,15392.059570,15595.240234,15595.240234,3566870000
2022-08-26,15595.240234,15628.349609,15177.250000,15178.209961,15178.209961,3832750000
2022-08-29,15178.209961,15229.259766,15067.950195,15118.849609,15118.849609,3396510000
2022-08-30,15118.849609,15142.669922,14884.009766,14931.419922,14931.419922,3835860000
2022-08-31,14931.419922,14988.750000,14801.240234,14801.240234,14801.240234,4542490000
2022-09-01,14801.240234,14801.240234,14576.650391,14771.900391,14771.900391,4152250000
2022-09-02,14771.900391,14981.500000,14635.000000,14689.500000,14689.500000,3665850000
2022-09-06,14689.500000,14748.740234,14575.679688,14631.519531,14631.519531,4127340000
2022-09-07,14631.519531,14865.990234,14562.780273,14844.570313,14844.570313,3890320000
2022-09-08,14844.570313,14962.019531,14726.509766,14961.769531,14961.769531,3966850000
2022-09-09,14961.769531,15222.790039,14961.769531,15190.790039,15190.790039,3901940000
2022-09-12,15190.790039,15397.139648,15190.790039,15352.179688,15352.179688,3814200000
2022-09-13,15352.179688,15352.179688,14784.339844,14820.790039,14820.790039,4224550000
2022-09-14,14820.790039,14898.759766,14733.570313,14843.209961,14843.209961,4293240000
2022-09-15,14843.209961,14903.030273,14686.969727,14722.030273,14722.030273,4441830000
2022-09-16,14722.030273,14722.030273,14468.919922,14573.910156,14573.910156,7954650000
2022-09-19,14573.910156,14677.530273,14429.950195,14674.459961,14674.459961,3766850000
2022-09-20,14674.459961,14674.459961,14384.469727,14474.719727,14474.719727,4058050000
2022-09-21,14474.719727,14608.040039,14236.120117,14236.610352,14236.610352,4078330000
2022-09-22,14236.610352,14277.240234,14107.190430,14116.589844,14116.589844,4284600000
2022-09-23,14116.589844,14116.589844,13640.879883,13796.990234,13796.990234,5144270000
2022-09-26,13796.990234,13813.540039,13529.580078,13580.389648,13580.389648,4886140000
2022-09-27,13580.389648,13783.820313,13467.349609,13541.759766,13541.759766,4577740000
2022-09-28,13541.759766,13894.650391,13541.759766,13833.179688,13833.179688,4684850000
2022-09-29,13833.179688,13833.179688,13498.280273,13608.290039,13608.290039,4681810000
2022-09-30,13608.290039,13725.059570,13466.980469,13472.179688,13472.179688,5645360000
2022-10-03,13472.179688,13920.410156,13472.179688,13855.719727,13855.719727,4806680000
2022-10-04,13855.719727,14322.360352,13855.719727,14319.490234,14319.490234,5146580000
2022-10-05,14319.490234,14340.849609,14079.910156,14262.030273,14262.030273,4293180000
2022-10-06,14262.030273,14268.419922,14063.849609,14087.379883,14087.379883,4252100000
2022-10-07,14087.379883,14087.379883,13727.790039,13798.259766,13798.259766,4449660000
2022-10-10,13798.259766,13846.849609,13629.589844,13693.570313,13693.570313,3834320000
2022-10-11,13693.570313,13788.139648,13518.549805,13608.089844,13608.089844,4759030000
2022-10-12,13608.089844,13647.419922,13536.299805,13546.799805,13546.799805,4006830000
2022-10-13,13546.799805,13943.019531,13278.559570,13888.969727,13888.969727,5021680000
2022-10-14,13888.969727,14041.940430,13599.429688,13607.309570,13607.309570,4243030000
2022-10-17,13607.309570,13989.860352,13607.309570,13923.209961,13923.209961,4352780000
2022-10-18,13923.209961,14207.839844,13923.209961,14089.200195,14089.200195,4483740000
2022-10-19,14089.200195,14089.200195,13852.450195,13947.259766,13947.259766,4223800000
2022-10-20,13947.259766,14095.690430,13809.309570,13840.469727,13840.469727,4496620000
2022-10-21,13840.469727,14161.559570,13779.469727,14144.049805,14144.049805,5078020000
2022-10-24,14144.049805,14269.339844,14085.419922,14226.110352,14226.110352,4747930000
2022-10-25,14226.110352,14454.139648,14226.110352,14440.690430,14440.690430,4843120000
2022-10-26,14440.690430,14670.620117,14440.690430,14531.690430,14531.690430,4817310000
2022-10-27,14531.690430,14726.110352,14531.690430,14569.900391,14569.900391,4687320000
2022-10-28,14569.900391,14802.219727,14565.509766,14795.629883,14795.629883,4459410000
2022-10-31,14795.629883,14825.019531,14698.820313,14747.030273,14747.030273,4820620000
2022-11-01,14747.030273,14921.480469,14725.089844,14790.709961,14790.709961,4481210000
2022-11-02,14790.709961,14929.379883,14496.330078,14497.849609,14497.849609,4899000000
2022-11-03,14497.849609,14531.929688,14297.059570,14455.669922,14455.669922,4625290000
2022-11-04,14455.669922,14796.809570,14455.669922,14702.769531,14702.769531,5400180000
